crop_soil_id,soil_id,district,crop_name,crop_local_name,crop_category,crop_season,popularity_rank_district,suitability_score_0_to_10,yield_potential_t_ha_min,yield_potential_t_ha_max,yield_potential_t_ha_mean,ph_optimum_min,ph_optimum_max,ph_tolerance_min,ph_tolerance_max,N_requirement_kg_ha,P_requirement_kg_ha,K_requirement_kg_ha,water_requirement_mm_season,temperature_optimum_min_c,temperature_optimum_max_c,flood_tolerance,drought_tolerance,salinity_tolerance,key_limiting_factor,recommended_fertiliser_kg_ha,recommended_amendment,cropping_system_position,notes
CS017,NLD001,Nalanda,Onion,Pyaaz,Vegetable — Rabi,Rabi,4,8.5,10.0,20.0,15.0,6.0,7.5,5.5,8.0,100,50,80,450,10,25,Low,Moderate,Low,Low OC reduces yield stability; needs FYM,N:100 P:50 K:80,FYM 20t/ha,Secondary Rabi Vegetable,Nalanda known for onion; bhangar loam suitable
CS018,NLD001,Nalanda,Maize,Makka,Cereal — Zaid,Zaid/Summer,5,7.5,2.5,4.5,3.5,5.8,7.0,5.0,8.0,120,60,40,600,18,32,Low,Moderate,Low,Summer heat critical; needs irrigation; pH near upper limit,N:120 P:60 K:40,FYM 5t/ha,Summer (Zaid) Crop,Rice-potato-summer maize rotation common in Nalanda upland
CS019,NLD001,Nalanda,Pulses (Moong / Lentil / Gram),Dal (Moong/Masoor/Chana),Pulse — Rabi,Rabi,6,8.0,0.6,1.5,1.0,6.0,8.0,5.5,8.5,20,40,20,300,10,25,Low,Moderate,Low,Low K on bhangar is limiting; N fixation partially compensates,N:20 P:40 K:20,Rhizobium inoculant; TSP 40kg/ha,Rabi Pulse,Paira crop after paddy common in lowland; pulses in upland rotation
CS020,NLD001,Nalanda,Mustard / Oilseeds,Sarson,Oilseed — Rabi,Rabi,7,8.0,1.0,2.0,1.5,6.0,7.5,5.5,8.0,80,40,40,350,10,25,Low,Moderate,Low,Low P critical; needs sulphur addition,N:80 P:40 K:40 S:20,Sulphur 20kg/ha; Zinc sulphate,Rabi Oilseed,Rice-oilseed-sunflower rotation in Nalanda upland
CS021,NLD001,Nalanda,Mango,Aam,Fruit — Perennial,Perennial,8,7.5,5.0,15.0,10.0,6.0,7.5,5.5,8.0,80,40,80,800,15,40,Low,Moderate,Low,Old alluvium compact — needs deep ploughing for roots; adequate drainage,N:80 P:40 K:80,Organic mulch; FYM 20kg/tree/yr,Perennial Horticulture,Organic Corridor scheme; Bihar Organic Corridor includes Nalanda
CS022,NLD002,Nalanda,Potato,Aloo,Vegetable — Rabi,Rabi,1,9.0,18.0,30.0,25.0,5.0,6.5,4.5,7.5,150,100,100,500,10,20,Low,Low,Low,Slightly acidic catenary soil is ideal for potato,N:150 P:100 K:100,Sulphur 20kg/ha,Primary on Catenary,Moderately acidic old alluvium catenary is best potato soil in Nalanda
CS023,NLD002,Nalanda,Vegetables (Cauliflower/Tomato/Brinjal),Sabji,Vegetable — Rabi/Zaid,Rabi,2,9.0,10.0,25.0,17.0,5.5,7.0,5.0,7.5,120,60,80,500,15,28,Low,Moderate,Low,Sandy loam catenary has good aeration for vegetables,N:120 P:60 K:80,FYM 20t/ha; Boron 1kg/ha,Primary Rabi Vegetable,Catenary soils in Nalanda upland well-suited to diverse vegetables
CS024,NLD002,Nalanda,Groundnut,Moongfali,Oilseed — Kharif,Kharif,3,8.0,1.2,2.5,1.8,5.5,7.0,4.5,7.5,25,50,40,500,25,35,Low,Moderate,Low,Sandy loam texture ideal; slightly acidic suits groundnut,N:25 P:50 K:40,Gypsum 200kg/ha for Ca; Rhizobium,Kharif Oilseed,Groundnut in upland cropping system Nalanda
CS025,NLD003,Nalanda,Rice (Paddy),Dhan,Cereal — Kharif,Kharif,1,9.0,2.5,4.5,3.5,6.0,7.5,5.5,8.2,120,35,33,1100,20,35,High,Low,Low,Very low P; heavy clay prone to cracking in summer,N:120 P:35 K:33,TSP basal; compost,Primary Kharif,Tal lowland in Nalanda south bank of Ganges; paddy is natural fit
CS026,NLD003,Nalanda,Pulses (Paira),Dal (relay),Pulse,Rabi (relay),2,8.5,0.5,1.2,0.8,6.0,8.0,5.5,8.5,20,40,20,200,10,25,Moderate,Moderate,Low,Low P critical; high K is advantage,N:20 P:40 K:0 (K adequate),TSP 40kg/ha; Rhizobium,Paira Relay after Paddy,Tal soil "Pulse basket of Bihar"; relay cropping after paddy harvest
